Datum;Anfang;Ende;Gesamt (Netzlast) [MWh] Berechnete Auflösungen;Residuallast [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen
08.08.2022;02:00;03:00;37.604,25;33.575,5;3.843,5
08.08.2022;03:00;04:00;37.559,25;34.306,75;4.185,75
08.08.2022;04:00;05:00;38.373,5;35.596,25;3.025,5
08.08.2022;05:00;06:00;41.273;38.738,25;893
08.08.2022;06:00;07:00;47.601,75;44.245;212,5
08.08.2022;07:00;08:00;52.687,5;45.051;20,5
08.08.2022;08:00;09:00;56.394;41.705,25;26,5
08.08.2022;09:00;10:00;57.970;35.173;101,5
08.08.2022;10:00;11:00;59.091,25;29.209,25;1.180,5
08.08.2022;11:00;12:00;60.306;25.704,5;1.611,25
08.08.2022;12:00;13:00;60.577;24.614,75;1.739,25
08.08.2022;13:00;14:00;59.415,25;23.773,75;1.631,5
08.08.2022;14:00;15:00;57.993,25;23.670,5;2.611
08.08.2022;15:00;16:00;56.871,25;25.159;3.122,75
08.08.2022;16:00;17:00;56.096,5;28.751,25;2.259,25
08.08.2022;17:00;18:00;55.792,25;34.604,25;932,75
08.08.2022;18:00;19:00;55.417,25;41.540,75;231
08.08.2022;19:00;20:00;55.002,75;46.783,25;5,75
08.08.2022;20:00;21:00;53.532,75;47.497;6
08.08.2022;21:00;22:00;52.048,75;44.826,5;7,5
08.08.2022;22:00;23:00;48.919;40.224,5;16,75
08.08.2022;23:00;00:00;45.576;36.516;417,25
09.08.2022;00:00;01:00;43.186,5;34.626,25;1.486
09.08.2022;01:00;02:00;41.826;34.396,25;1.697,75
09.08.2022;02:00;03:00;40.578,5;34.276,75;2.174
09.08.2022;03:00;04:00;40.693,5;35.355;2.518,5
09.08.2022;04:00;05:00;41.437;36.682,25;1.924,5
09.08.2022;05:00;06:00;43.947,5;39.155;953,5
09.08.2022;06:00;07:00;49.720,25;43.771;514,25
09.08.2022;07:00;08:00;54.417;44.836,25;26,5
09.08.2022;08:00;09:00;57.703;42.376;11
09.08.2022;09:00;10:00;58.751,25;35.753;134
09.08.2022;10:00;11:00;60.047,5;29.256,75;1.125
09.08.2022;11:00;12:00;61.331,5;24.838,75;2.175,75
09.08.2022;12:00;13:00;61.171;22.392,75;5.547,5
09.08.2022;13:00;14:00;60.717,25;22.738,75;6.038,75
09.08.2022;14:00;15:00;59.440;23.671,75;5.806,5
09.08.2022;15:00;16:00;58.134,25;25.246,75;4.795,5
09.08.2022;16:00;17:00;56.789,5;28.490,5;4.346,75
09.08.2022;17:00;18:00;56.055,5;33.818;1.912,75
09.08.2022;18:00;19:00;55.875,5;40.781,5;379,25
09.08.2022;19:00;20:00;55.467,75;46.412,5;6,75
09.08.2022;20:00;21:00;53.650,5;46.966;3,75
09.08.2022;21:00;22:00;52.454,25;43.832;114,5
09.08.2022;22:00;23:00;49.047,5;38.366;267,5
09.08.2022;23:00;00:00;45.707,75;34.308,75;895,25
10.08.2022;00:00;01:00;43.363,25;32.927,5;1.214
10.08.2022;01:00;02:00;41.933,75;33.018,5;1.944
10.08.2022;02:00;03:00;40.738;33.078,25;2.548,25
10.08.2022;03:00;04:00;41.091,75;34.538,5;3.324,5
10.08.2022;04:00;05:00;41.882,5;36.270,25;1.744,75
10.08.2022;05:00;06:00;44.341,5;39.217,75;700,75
10.08.2022;06:00;07:00;49.859,75;43.997,75;116,5
10.08.2022;07:00;08:00;54.395,75;44.823,5;5,75
10.08.2022;08:00;09:00;57.616,75;42.035,75;5,5
10.08.2022;09:00;10:00;58.957,25;35.304;218
10.08.2022;10:00;11:00;60.397,5;28.748,5;1.425
10.08.2022;11:00;12:00;61.704,25;24.541,5;2.520
10.08.2022;12:00;13:00;61.369,75;22.065,5;5.386,5
10.08.2022;13:00;14:00;60.971,25;21.745;6.363,5
10.08.2022;14:00;15:00;59.402;21.748,75;6.172,5
10.08.2022;15:00;16:00;58.316,5;23.746;5.391
10.08.2022;16:00;17:00;57.241,25;27.668;3.258
10.08.2022;17:00;18:00;56.730,25;33.958,5;463,75
10.08.2022;18:00;19:00;56.427,25;41.706,75;146,75
10.08.2022;19:00;20:00;55.374;47.374,25;2,25
10.08.2022;20:00;21:00;53.527,5;47.786,25;2,75
10.08.2022;21:00;22:00;52.434;44.709,75;14
10.08.2022;22:00;23:00;49.400,5;39.190;226,25
10.08.2022;23:00;00:00;46.064,25;35.130,75;149
11.08.2022;00:00;01:00;43.690,5;33.373,75;726,75
11.08.2022;01:00;02:00;42.024,25;32.878,25;720
11.08.2022;02:00;03:00;41.047,25;33.150,25;1.817,25
11.08.2022;03:00;04:00;41.248,25;34.732,25;3.335,5
11.08.2022;04:00;05:00;41.664,25;36.379,25;1.719,5
11.08.2022;05:00;06:00;44.157,75;39.623,25;781,5
11.08.2022;06:00;07:00;49.843,25;44.754,5;90,5
11.08.2022;07:00;08:00;54.522,5;45.695,75;7
11.08.2022;08:00;09:00;57.699,5;42.174,25;3
11.08.2022;09:00;10:00;59.454;35.967;55,25
11.08.2022;10:00;11:00;60.721,5;29.158,75;552,25
11.08.2022;11:00;12:00;61.549,25;23.460,5;1.771,25
11.08.2022;12:00;13:00;61.659;20.382;4.331,25
11.08.2022;13:00;14:00;61.453,5;20.088,25;6.620,25
11.08.2022;14:00;15:00;59.966;20.509,75;5.435,5
11.08.2022;15:00;16:00;58.943,25;23.078,25;3.928
11.08.2022;16:00;17:00;57.416;27.019,5;1.443,25
11.08.2022;17:00;18:00;56.423,75;33.107,25;67,5
11.08.2022;18:00;19:00;55.766,25;40.457,5;36,75
11.08.2022;19:00;20:00;54.826,75;45.981;4
11.08.2022;20:00;21:00;53.406,75;46.405,5;1
11.08.2022;21:00;22:00;52.148,75;43.113,75;6,5
11.08.2022;22:00;23:00;49.066;38.219;124,75
11.08.2022;23:00;00:00;45.378,75;34.016,25;727
12.08.2022;00:00;01:00;43.263,75;32.215,5;1.520,25
12.08.2022;01:00;02:00;41.537,5;31.335,5;2.663,5
12.08.2022;02:00;03:00;40.777;31.913,25;2.734
12.08.2022;03:00;04:00;40.382,75;32.970,75;2.290,5
12.08.2022;04:00;05:00;40.969,5;35.168,75;1.190,75
12.08.2022;05:00;06:00;43.505,75;38.960,5;245,75
12.08.2022;06:00;07:00;48.705,25;43.481,5;254,25
12.08.2022;07:00;08:00;53.359;44.115,25;71,25
12.08.2022;08:00;09:00;56.771;40.955,25;34,5
12.08.2022;09:00;10:00;58.360,25;34.510,5;42,75
12.08.2022;10:00;11:00;59.682,5;27.355,5;519,25
12.08.2022;11:00;12:00;61.176,25;21.779,75;2.224,5
12.08.2022;12:00;13:00;60.962,25;18.807,25;4.738,75
12.08.2022;13:00;14:00;59.517,5;17.442,75;5.820,5
12.08.2022;14:00;15:00;58.038;18.311,5;6.420,25
12.08.2022;15:00;16:00;56.908,5;20.883,75;4.777,75
12.08.2022;16:00;17:00;55.815,75;24.678,75;1.361,25
12.08.2022;17:00;18:00;55.625,75;30.464,5;612,75
12.08.2022;18:00;19:00;54.276;36.278,25;54,5
12.08.2022;19:00;20:00;53.263,25;41.780,5;7,5
12.08.2022;20:00;21:00;51.722;43.441,75;7,75
12.08.2022;21:00;22:00;50.468,5;40.681,25;7
12.08.2022;22:00;23:00;47.569,25;36.578,75;28
12.08.2022;23:00;00:00;44.452,5;33.671,25;506,25
13.08.2022;00:00;01:00;41.857,75;31.451,25;130
13.08.2022;01:00;02:00;40.086,75;30.819,5;1.093
13.08.2022;02:00;03:00;38.836,5;30.957,5;364,75
13.08.2022;03:00;04:00;38.210,75;31.838,25;460,5
13.08.2022;04:00;05:00;37.895,5;32.836;273,75
13.08.2022;05:00;06:00;38.147,25;33.696;149,25
13.08.2022;06:00;07:00;39.556,25;34.723,25;229,5
13.08.2022;07:00;08:00;41.969,5;33.944,25;45,25
13.08.2022;08:00;09:00;45.527;31.299,5;107
13.08.2022;09:00;10:00;48.509,5;27.568;397,5
13.08.2022;10:00;11:00;50.319,75;22.956,5;1.961,75
13.08.2022;11:00;12:00;51.402,5;18.778,5;3.939,5
13.08.2022;12:00;13:00;51.074;16.591,5;4.944,25
13.08.2022;13:00;14:00;49.914;15.509;6.161,75
13.08.2022;14:00;15:00;48.794,25;15.665,75;6.496,75
13.08.2022;15:00;16:00;48.231,25;17.511,5;5.993,75
13.08.2022;16:00;17:00;47.405;20.858;2.772
13.08.2022;17:00;18:00;47.497,25;26.190;439,75
13.08.2022;18:00;19:00;47.720,5;32.532,5;132,5
13.08.2022;19:00;20:00;47.109,25;37.477;8,5
13.08.2022;20:00;21:00;45.646,75;38.758;2,25
13.08.2022;21:00;22:00;45.102,75;37.053,75;5
13.08.2022;22:00;23:00;42.873;33.484,75;15
13.08.2022;23:00;00:00;40.644,5;31.195,25;222
14.08.2022;00:00;01:00;38.645;29.179,25;309,25
14.08.2022;01:00;02:00;37.089,5;28.227,5;1.071,75
14.08.2022;02:00;03:00;35.990;28.286,5;956,5
14.08.2022;03:00;04:00;35.499,25;28.705,75;501
14.08.2022;04:00;05:00;35.328,75;29.217;427,25
14.08.2022;05:00;06:00;35.733,25;29.259,25;447
14.08.2022;06:00;07:00;36.390;28.562,5;444,75
14.08.2022;07:00;08:00;38.364,75;27.067,25;800,5
14.08.2022;08:00;09:00;41.695,25;25.048,75;1.011,25
14.08.2022;09:00;10:00;44.490,75;20.046,25;2.178,25
14.08.2022;10:00;11:00;46.575;14.711,25;2.956,5
14.08.2022;11:00;12:00;48.476;11.232;5.122,25
14.08.2022;12:00;13:00;48.442;8.827,5;6.729,25
14.08.2022;13:00;14:00;47.187;7.785,25;6.700
14.08.2022;14:00;15:00;46.340;8.554,5;6.691,75
14.08.2022;15:00;16:00;45.844,75;11.496,75;5.665,25
14.08.2022;16:00;17:00;45.901,5;16.601,5;3.415,5
14.08.2022;17:00;18:00;46.344;23.258,75;1.752,5
14.08.2022;18:00;19:00;47.293,5;30.698;341,75
14.08.2022;19:00;20:00;47.439,25;35.208;5,25
14.08.2022;20:00;21:00;47.381,25;36.246;15
14.08.2022;21:00;22:00;47.568,25;34.916,5;22,5
14.08.2022;22:00;23:00;46.312,25;32.509;35,5
14.08.2022;23:00;00:00;43.992,25;29.768;355,5
15.08.2022;00:00;01:00;41.696,25;28.260;697,5
15.08.2022;01:00;02:00;40.870,75;28.279,25;1.809,75
15.08.2022;02:00;03:00;39.065,75;28.220;2.676,25
15.08.2022;03:00;04:00;38.653;28.970,25;4.099,75
15.08.2022;04:00;05:00;39.667,75;30.582,75;2.842
15.08.2022;05:00;06:00;42.550;33.913,75;1.401
15.08.2022;06:00;07:00;48.176,75;39.392,5;569
15.08.2022;07:00;08:00;52.434;42.392,25;39
15.08.2022;08:00;09:00;54.926,25;41.284,25;32,75
15.08.2022;09:00;10:00;56.848,25;38.109,25;74,75
15.08.2022;10:00;11:00;58.736;34.166,5;439
15.08.2022;11:00;12:00;60.434,75;32.057,75;968,5
15.08.2022;12:00;13:00;60.317,75;30.375;593,75
15.08.2022;13:00;14:00;59.438,75;28.881,25;1.807,25
15.08.2022;14:00;15:00;58.474,75;28.039,75;3.438,25
15.08.2022;15:00;16:00;57.855,75;28.829,5;4.344,5
15.08.2022;16:00;17:00;56.788;31.914,75;2.763,5
15.08.2022;17:00;18:00;57.051,5;37.433,25;1.869
15.08.2022;18:00;19:00;56.401,25;42.919;638,25
15.08.2022;19:00;20:00;55.777,25;47.245,5;24,25
15.08.2022;20:00;21:00;54.145,25;48.230,5;10,5
15.08.2022;21:00;22:00;52.415,5;47.494;21
15.08.2022;22:00;23:00;48.709,75;44.419,75;72
15.08.2022;23:00;00:00;45.081,5;40.928,5;217,75
16.08.2022;00:00;01:00;42.463,75;38.505,75;460,5
16.08.2022;01:00;02:00;40.769,25;36.687;1.031,25
16.08.2022;02:00;03:00;40.180,5;35.686,75;2.089
16.08.2022;03:00;04:00;40.363,25;35.478,75;3.435,75
16.08.2022;04:00;05:00;41.658;36.861,25;3.536,5
16.08.2022;05:00;06:00;44.150,75;39.584,75;1.570,25
16.08.2022;06:00;07:00;49.916,75;44.961;338
16.08.2022;07:00;08:00;54.487;46.331,25;101,5
16.08.2022;08:00;09:00;57.673;43.603,5;68
16.08.2022;09:00;10:00;59.013,25;37.406,75;217
16.08.2022;10:00;11:00;60.449,25;31.811,75;1.661
16.08.2022;11:00;12:00;61.700;28.243;2.769,25
16.08.2022;12:00;13:00;61.636,25;25.890;3.992
16.08.2022;13:00;14:00;60.834,75;25.547,75;3.652,25
16.08.2022;14:00;15:00;59.576,5;26.251,5;2.889,75
16.08.2022;15:00;16:00;58.623,25;28.583,75;2.258,5
16.08.2022;16:00;17:00;57.507,5;32.259,75;643,25
16.08.2022;17:00;18:00;57.392,75;38.918,25;502,5
16.08.2022;18:00;19:00;56.850,5;46.368;34,5
16.08.2022;19:00;20:00;55.714,5;51.586,75;2
16.08.2022;20:00;21:00;54.226,75;52.885,5;2
16.08.2022;21:00;22:00;52.624,5;51.796,25;3,5
16.08.2022;22:00;23:00;48.946,25;47.977;94,25
16.08.2022;23:00;00:00;45.550,5;44.447,5;126,5
17.08.2022;00:00;01:00;43.021;41.636,75;386,25
17.08.2022;01:00;02:00;41.610,75;40.071,25;1.365,25
17.08.2022;02:00;03:00;41.258,5;39.819,5;3.798,25
17.08.2022;03:00;04:00;41.181;39.737,25;4.304,5
17.08.2022;04:00;05:00;42.135,5;40.514,25;3.144,25
17.08.2022;05:00;06:00;44.980,5;43.163,75;1.574
17.08.2022;06:00;07:00;50.554,25;48.053,5;499
17.08.2022;07:00;08:00;55.140;49.188,25;95
17.08.2022;08:00;09:00;58.335,5;46.526;124,25
17.08.2022;09:00;10:00;59.881,75;41.954;24
17.08.2022;10:00;11:00;61.592;38.793;72,25
17.08.2022;11:00;12:00;63.135,25;36.976,25;38
17.08.2022;12:00;13:00;62.887;36.065;544
17.08.2022;13:00;14:00;61.511,5;35.140,5;764
17.08.2022;14:00;15:00;59.795,5;33.587,25;2.202,5
17.08.2022;15:00;16:00;58.910;33.760,5;2.343,75
17.08.2022;16:00;17:00;57.688;35.443;1.702,75
17.08.2022;17:00;18:00;57.617;39.799;799
17.08.2022;18:00;19:00;57.271,75;44.229,75;249
17.08.2022;19:00;20:00;56.500,25;47.141,5;16
17.08.2022;20:00;21:00;54.781;47.023,75;14
17.08.2022;21:00;22:00;53.351,5;45.275,5;54,5
17.08.2022;22:00;23:00;49.926,75;41.215,25;136,5
17.08.2022;23:00;00:00;46.176,25;38.074;288,75
18.08.2022;00:00;01:00;43.884;35.725,5;1.267,25
18.08.2022;01:00;02:00;42.478,75;34.661;3.833,75
18.08.2022;02:00;03:00;41.655;34.168;4.514,75
18.08.2022;03:00;04:00;41.501,75;34.513,75;5.491,5
18.08.2022;04:00;05:00;42.218,25;35.405,75;5.395,25
18.08.2022;05:00;06:00;45.249,25;38.685,5;4.026
18.08.2022;06:00;07:00;50.965;44.220,25;1.051
18.08.2022;07:00;08:00;55.700,25;47.207,5;364,75
18.08.2022;08:00;09:00;59.100;48.093,5;94,5
18.08.2022;09:00;10:00;60.643;46.134,25;21,75
18.08.2022;10:00;11:00;61.925;43.918;18,25
18.08.2022;11:00;12:00;63.143;41.177,75;272,25
18.08.2022;12:00;13:00;63.190,25;38.206,5;1.617
18.08.2022;13:00;14:00;62.085,75;36.485,25;1.550
18.08.2022;14:00;15:00;60.013,75;35.950,25;1.133,75
18.08.2022;15:00;16:00;59.282,5;37.598,25;1.095,5
18.08.2022;16:00;17:00;57.942,75;39.517,5;691,25
18.08.2022;17:00;18:00;58.191,5;44.080,25;499,5
18.08.2022;18:00;19:00;58.605,25;47.815;549
18.08.2022;19:00;20:00;57.344,75;48.667;237,5
18.08.2022;20:00;21:00;55.734;48.612,25;11,25
18.08.2022;21:00;22:00;53.868,25;47.023,75;292
18.08.2022;22:00;23:00;50.241,25;43.685,75;488
18.08.2022;23:00;00:00;46.573;41.127,75;290,75
19.08.2022;00:00;01:00;43.767;39.323,5;686,5
19.08.2022;01:00;02:00;42.132,75;37.872;1.906,25
19.08.2022;02:00;03:00;41.910,5;37.630,25;3.729,25
19.08.2022;03:00;04:00;41.620,75;37.537,25;4.582,75
19.08.2022;04:00;05:00;42.637,75;38.557,75;3.806,75
19.08.2022;05:00;06:00;45.302;41.018;2.438,25
19.08.2022;06:00;07:00;50.740,75;45.647,5;715,5
19.08.2022;07:00;08:00;55.397,75;48.517,25;360,75
19.08.2022;08:00;09:00;58.497;49.990,25;3,5
19.08.2022;09:00;10:00;59.379,25;48.863,5;117,25
19.08.2022;10:00;11:00;60.417;46.952,5;55,75
19.08.2022;11:00;12:00;61.343,25;45.319,25;13,5
19.08.2022;12:00;13:00;61.036,75;41.985,5;79,25
19.08.2022;13:00;14:00;59.252;38.604,75;454,25
19.08.2022;14:00;15:00;57.290,75;37.078,5;490,25
19.08.2022;15:00;16:00;56.489,25;38.045,25;420,75
19.08.2022;16:00;17:00;55.769,75;40.516,25;308,5
19.08.2022;17:00;18:00;56.238,75;44.803;238,75
19.08.2022;18:00;19:00;56.020,25;47.855,75;23
19.08.2022;19:00;20:00;54.550,25;49.049;18,25
19.08.2022;20:00;21:00;52.401,25;48.467,75;16
19.08.2022;21:00;22:00;50.078,5;46.737,5;103,75
19.08.2022;22:00;23:00;46.828,25;43.509,75;143,75
19.08.2022;23:00;00:00;43.366,75;40.129,75;90,25
20.08.2022;00:00;01:00;40.815,5;37.430,75;202
20.08.2022;01:00;02:00;39.699,25;35.632,75;556,75
20.08.2022;02:00;03:00;38.522,5;34.311,75;489
20.08.2022;03:00;04:00;38.229,75;34.094,25;511,5
20.08.2022;04:00;05:00;37.865;33.660,5;377,75
20.08.2022;05:00;06:00;38.866,25;34.488,75;794
20.08.2022;06:00;07:00;40.377,5;35.494,25;560
20.08.2022;07:00;08:00;42.478;36.825;594,25
20.08.2022;08:00;09:00;45.215,25;36.765,75;437
20.08.2022;09:00;10:00;48.023,25;36.046,75;796,25
20.08.2022;10:00;11:00;50.165;34.921;1.086,75
20.08.2022;11:00;12:00;50.975;32.165,5;1.666,75
20.08.2022;12:00;13:00;50.615,75;29.069,75;3.663
20.08.2022;13:00;14:00;49.164,75;25.956,5;5.254,5
20.08.2022;14:00;15:00;47.643,5;25.293,25;6.269,5
20.08.2022;15:00;16:00;46.409,5;24.819;5.730,75
20.08.2022;16:00;17:00;46.458;27.174,5;4.766
20.08.2022;17:00;18:00;46.713,25;31.687;1.009,5
20.08.2022;18:00;19:00;47.040,5;36.552;381,25
20.08.2022;19:00;20:00;45.939,5;40.038,75;12
20.08.2022;20:00;21:00;44.618;42.010,75;12
20.08.2022;21:00;22:00;43.432;40.840,5;12
20.08.2022;22:00;23:00;41.110,5;37.682,75;103,75
20.08.2022;23:00;00:00;38.924,5;34.898,5;339
21.08.2022;00:00;01:00;37.683,75;32.825,75;784,25
21.08.2022;01:00;02:00;36.512;31.287,5;1.300
21.08.2022;02:00;03:00;35.622,25;30.278,5;1.449
21.08.2022;03:00;04:00;34.997,75;29.664;2.017,25
21.08.2022;04:00;05:00;34.940,75;29.384,5;2.600
21.08.2022;05:00;06:00;35.240,5;29.155;2.794,5
21.08.2022;06:00;07:00;35.494,25;28.725,25;2.661,5
21.08.2022;07:00;08:00;36.920,75;27.628,75;2.783,75
21.08.2022;08:00;09:00;39.780;25.427,5;2.384
21.08.2022;09:00;10:00;42.766,25;21.967,25;4.229,75
21.08.2022;10:00;11:00;44.953,5;16.397,5;5.757
21.08.2022;11:00;12:00;47.015,5;13.434,25;6.629
21.08.2022;12:00;13:00;46.626,5;10.907,75;7.453,5
21.08.2022;13:00;14:00;45.344,25;9.462;7.458,5
21.08.2022;14:00;15:00;44.099,25;9.515;7.263
21.08.2022;15:00;16:00;43.745,25;11.955,25;7.225,25
21.08.2022;16:00;17:00;43.385,5;17.069;5.085
21.08.2022;17:00;18:00;43.863,75;24.861,5;1.998,5
21.08.2022;18:00;19:00;44.165,25;33.388,5;892,75
21.08.2022;19:00;20:00;44.092,75;39.496,75;98
21.08.2022;20:00;21:00;44.175,75;41.703,75;77,5
21.08.2022;21:00;22:00;44.090,5;41.617,75;50,75
21.08.2022;22:00;23:00;42.659,75;40.002,75;24,25
21.08.2022;23:00;00:00;40.029,5;37.302,5;176,5
22.08.2022;00:00;01:00;38.463;35.973,25;1.179
22.08.2022;01:00;02:00;37.336,5;35.104,5;1.391,5
22.08.2022;02:00;03:00;36.647,75;34.610,5;2.101,25
22.08.2022;03:00;04:00;36.744,25;34.970,75;4.043,75
22.08.2022;04:00;05:00;38.178,5;36.750,5;2.613,5
22.08.2022;05:00;06:00;41.349;39.970;908
22.08.2022;06:00;07:00;48.049,25;46.160,25;238
22.08.2022;07:00;08:00;52.870,75;47.658,25;128,25
22.08.2022;08:00;09:00;56.647,5;45.148,75;205
22.08.2022;09:00;10:00;58.562,25;40.108,75;328,25
22.08.2022;10:00;11:00;59.895,75;34.604,25;1.112,25
22.08.2022;11:00;12:00;60.923,75;31.230,75;1.612,5
22.08.2022;12:00;13:00;60.692,75;30.778,25;1.490,5
22.08.2022;13:00;14:00;59.982,25;30.885,75;1.752,75
22.08.2022;14:00;15:00;58.839,75;30.987;1.975,25
22.08.2022;15:00;16:00;58.323;34.009,75;1.700
22.08.2022;16:00;17:00;57.060,25;37.096;1.072,75
22.08.2022;17:00;18:00;56.759,5;41.700,5;792
22.08.2022;18:00;19:00;56.712;46.650,75;175
22.08.2022;19:00;20:00;56.076;49.429;39,75
22.08.2022;20:00;21:00;54.449;48.318,75;13,75
22.08.2022;21:00;22:00;52.453;45.008,25;174,25
22.08.2022;22:00;23:00;48.846,5;40.576,5;367,25
22.08.2022;23:00;00:00;45.531,75;36.815,75;497,5
23.08.2022;00:00;01:00;42.729,75;34.060,25;1.105
23.08.2022;01:00;02:00;41.208,25;33.351,25;1.190,5
23.08.2022;02:00;03:00;40.284,5;33.425,25;2.324,5
23.08.2022;03:00;04:00;40.794,75;34.774;2.972
23.08.2022;04:00;05:00;41.517,25;36.044,25;2.269,75
23.08.2022;05:00;06:00;44.439,75;39.036,5;1.475,75
23.08.2022;06:00;07:00;50.693,5;44.591,5;369,25
23.08.2022;07:00;08:00;54.974;45.956,5;120,5
23.08.2022;08:00;09:00;58.201,75;43.282,25;142
23.08.2022;09:00;10:00;59.443;37.723,75;385,75
23.08.2022;10:00;11:00;60.824,25;31.997,25;571,25
23.08.2022;11:00;12:00;61.555,25;27.239,5;733
23.08.2022;12:00;13:00;61.555;24.392;2.427,25
23.08.2022;13:00;14:00;61.529,75;24.260,5;3.073,25
23.08.2022;14:00;15:00;60.463,25;25.121,5;2.803,75
23.08.2022;15:00;16:00;59.091,25;27.953,75;1.443
23.08.2022;16:00;17:00;57.880,75;32.338,75;1.078,5
23.08.2022;17:00;18:00;57.607,75;38.946;764,25
23.08.2022;18:00;19:00;57.365;46.345,75;198
23.08.2022;19:00;20:00;56.640,75;50.777,75;6,5
23.08.2022;20:00;21:00;55.223;49.251,75;8,75
23.08.2022;21:00;22:00;53.331,75;45.038,25;471,75
23.08.2022;22:00;23:00;49.645;40.003,5;363
23.08.2022;23:00;00:00;46.169,5;36.031,5;581,5
24.08.2022;00:00;01:00;43.542,25;33.906,25;813,25
24.08.2022;01:00;02:00;42.161,5;33.396,5;1.951,5
24.08.2022;02:00;03:00;41.182,75;33.258;3.402,75
24.08.2022;03:00;04:00;41.181,5;34.359;4.269,5
24.08.2022;04:00;05:00;42.008;35.885;3.405,75
24.08.2022;05:00;06:00;44.937,25;39.032,75;1.789
24.08.2022;06:00;07:00;50.527,75;44.771,5;447,25
24.08.2022;07:00;08:00;54.901,5;46.795,5;18,25
24.08.2022;08:00;09:00;57.888,25;44.257,75;125,5
24.08.2022;09:00;10:00;59.339,25;38.386;329,75
24.08.2022;10:00;11:00;60.845;33.142;668,5
24.08.2022;11:00;12:00;62.019,75;29.922,5;570,75
24.08.2022;12:00;13:00;61.541,5;27.243,5;1.574,5
24.08.2022;13:00;14:00;60.822,75;26.524,5;2.498,75
24.08.2022;14:00;15:00;59.689,25;27.339;2.675,5
24.08.2022;15:00;16:00;58.540,5;29.629,75;737,25
24.08.2022;16:00;17:00;57.655,25;33.347;473
24.08.2022;17:00;18:00;57.807;39.758,25;379,5
24.08.2022;18:00;19:00;57.668,75;46.509;39,25
24.08.2022;19:00;20:00;57.004;50.678,25;2
24.08.2022;20:00;21:00;55.546,25;49.082;3
24.08.2022;21:00;22:00;53.596,75;44.204;289,75
24.08.2022;22:00;23:00;49.615,75;38.912,75;553
24.08.2022;23:00;00:00;46.351,75;35.018,5;897,25
25.08.2022;00:00;01:00;43.701,5;32.185,75;986,25
25.08.2022;01:00;02:00;42.296,5;30.906,25;2.018,75
25.08.2022;02:00;03:00;41.262,5;30.487;2.686,75
25.08.2022;03:00;04:00;41.012,25;31.529;2.726,5
25.08.2022;04:00;05:00;41.960,75;33.469,75;2.622,25
25.08.2022;05:00;06:00;45.028,5;36.922;996,5
25.08.2022;06:00;07:00;51.258,25;42.699,5;79,75
25.08.2022;07:00;08:00;55.699,25;44.473,5;42
25.08.2022;08:00;09:00;58.552,25;42.277;11,75
25.08.2022;09:00;10:00;60.216;36.923;89,25
25.08.2022;10:00;11:00;61.411,5;31.060,5;371,75
25.08.2022;11:00;12:00;62.372,5;26.934;961
25.08.2022;12:00;13:00;63.453,25;25.254,75;4.825,5
25.08.2022;13:00;14:00;62.584,5;23.752,5;5.601,25
25.08.2022;14:00;15:00;61.481,5;23.700,5;5.435,5
25.08.2022;15:00;16:00;60.995,25;25.391,5;4.178,75
25.08.2022;16:00;17:00;59.909,5;29.473,75;2.691,75
25.08.2022;17:00;18:00;59.812;36.497,75;644,75
25.08.2022;18:00;19:00;59.072,5;43.305;110,75
25.08.2022;19:00;20:00;58.169;48.341,75;10,25
25.08.2022;20:00;21:00;56.947,75;48.266,75;7
25.08.2022;21:00;22:00;54.874,25;44.553;282,5
25.08.2022;22:00;23:00;50.862;39.791,75;331,25
25.08.2022;23:00;00:00;47.266,5;36.296;250,5
26.08.2022;00:00;01:00;44.258;34.586,25;763,25
26.08.2022;01:00;02:00;42.691,5;35.000;2.897
26.08.2022;02:00;03:00;41.232,5;35.138,75;3.077,75
26.08.2022;03:00;04:00;41.103,75;36.194,25;3.886,75
26.08.2022;04:00;05:00;42.291,5;37.859,25;3.608,25
26.08.2022;05:00;06:00;45.635,25;41.459,75;1.107
26.08.2022;06:00;07:00;51.702,75;47.084,75;237,75
26.08.2022;07:00;08:00;55.889,75;48.371;27
26.08.2022;08:00;09:00;59.129,25;46.278,5;33,75
26.08.2022;09:00;10:00;60.949,75;42.299;136,5
26.08.2022;10:00;11:00;62.402,25;38.256,25;61,75
26.08.2022;11:00;12:00;62.816,75;35.435;88,5
26.08.2022;12:00;13:00;61.935,5;33.712,25;218
26.08.2022;13:00;14:00;60.244,25;33.161;26,25
26.08.2022;14:00;15:00;59.115,75;32.874,75;258,5
26.08.2022;15:00;16:00;58.486;32.666,25;1.807,5
26.08.2022;16:00;17:00;57.571,25;34.489,5;1.372,75
26.08.2022;17:00;18:00;57.416,75;37.847,25;104,5
26.08.2022;18:00;19:00;56.967;41.776,25;29,5
26.08.2022;19:00;20:00;55.216,5;44.528,5;10
26.08.2022;20:00;21:00;53.485;45.113,5;8,5
26.08.2022;21:00;22:00;50.768,75;43.091,25;32,5
26.08.2022;22:00;23:00;47.447;40.443,5;93,25
26.08.2022;23:00;00:00;44.898;38.267,75;162,25
27.08.2022;00:00;01:00;42.427;36.223,75;52,75
27.08.2022;01:00;02:00;40.229,25;34.374;72,5
27.08.2022;02:00;03:00;38.463,25;32.439;57,25
27.08.2022;03:00;04:00;38.179;32.092,5;550,25
